category,n,outcome,mechanisms,incumbent_at_attempt,incumbent_floor,our_best_logged,evidence
oct_in_tri,18,beaten-claimed,drop-one (night sweep); harvest,Bhavithran Ananthan,16.41137,16.409792942504033,ledger: standing | night_harvest/do0_* | sweep_results.md
oct_in_tri,19,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,16.54447,16.544510947,night_harvest/do0_* | sweep_results.md
oct_in_tri,20,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,16.74197,16.741961314,night_harvest/do0_* | sweep_results.md
oct_in_tri,21,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,16.78582,16.785825430,night_harvest/do0_* | sweep_results.md
oct_in_tri,22,tie-documented,harvest,Bhavithran Ananthan,17.96238,17.962384687,sweep_results.md
pen_in_hex,4,tie-documented,search (blitz-1),Ethan Riddle,1.97666,1.976689305,blitz_final.txt | blitz_targets.txt
pen_in_hex,5,tie-documented,search (blitz-1),Nicolas Campailla,2.21822,2.218220346,blitz_final.txt | blitz_targets.txt
pen_in_hex,6,beaten-claimed,drop-one (night sweep); harvest; search; search (blitz-2),Nicolas Campailla,2.32294,2.322939295665665,blitz2_penhex6.json | blitz2_targets.txt (aggregate: 49 ties) | ledger: withdrawn — not a record (page was stale; the incumbent's actual value was not beaten) | night_harvest/do0_* | sweep_results.md
pen_in_hex,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Nicolas Campailla,2.36527,2.365272267,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_hex,8,beaten-candidate,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,2.71923,2.719228668,"blitz2_penhex8.json (sniped while staged, never submitted) | blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md"
pen_in_hex,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Nicolas Campailla,2.86967,2.869675167,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_hex,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,2.93665,2.936643619,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_hex,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,3.16125,3.161270959,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_hex,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jake Loyd,3.21458,3.214582364,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_hex,13,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.40911,3.409123536,night_harvest/do0_* | sweep_results.md
pen_in_hex,14,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.46643,3.466438204,night_harvest/do0_* | sweep_results.md
pen_in_hex,15,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.63499,3.635035943,night_harvest/do0_* | sweep_results.md
pen_in_hex,16,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.69896,3.698964814,night_harvest/do0_* | sweep_results.md
pen_in_hex,17,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.75774,3.757736353,night_harvest/do0_* | sweep_results.md
pen_in_hex,18,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.84479,3.844888498,night_harvest/do0_* | sweep_results.md
pen_in_hex,19,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,3.88272,3.882712405,night_harvest/do0_* | sweep_results.md
pen_in_hex,20,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.14048,4.140541708,night_harvest/do0_* | sweep_results.md
pen_in_hex,21,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.24003,4.240170003,night_harvest/do0_* | sweep_results.md
pen_in_hex,22,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.32443,4.324580063,night_harvest/do0_* | sweep_results.md
